Country,Country Code,HighIncome,OECD,SERF,GDPPC,Education,Health,Housing,Food,Work,EnrollYear,EnrollGDP,EnrollRate,EnrollAdjPerf,PrimaryYear,PrimaryGDP,PrimaryRate,PrimaryAdjPerf,ChildSurviveYear,ChildSurviveGDP,ChildSurviveRate,ChildSurviveAdjPerf,Age65Year,Age65GDP,Age65Rate,Age65AdjPerf,ContraceptiveYear,ContraceptiveGDP,ContraceptiveRate,ContraceptiveAdjPerf,SanitationYear,SanitationGDP,SanitationRate,SanitationAdjPerf,RuralImprovedH20Year,RuralImprovedH20GDP,RuralImprovedH20Rate,RuralImprovedH20AdjPerf,StuntingYear,StuntingGDP,StuntingRate,Stunting AdjPerf,NotPoorYear,NotPoorGDP,NotPoorRate,NotPoorAdjPerf
Tunisia,TUN,0,0,89.16065091,10769.93325,92.17026385,83.28252076,90.94289062,89.25182457,90.15575474,2015,10769.93325,80.63459,84.85128945,2014,10782.09617,99.72470093,99.48923826,2015,10769.93325,98.6,97.3192878,2014,10782.09617,82.41684782,91.64023774,2012,10409.21246,50,60.88803673,2015,10769.93325,91.6,91.03601647,2015,10769.93325,93.2,90.84976478,2012,10409.21246,89.89999962,89.25182457,2010,10437.08855,91.59,90.15575474
Turkey,TUR,0,1,91.70760713,19460.48213,97.62312696,81.20199876,96.37241285,87.45147617,95.88902093,2013,18750.45597,95.7607193,95.61273354,2012,18326.4323,99.84850311,99.63352038,2015,19460.48213,98.65,96.71307177,2014,18992.78144,82.7312733,90.17832267,2013,18750.45597,47.3,56.71460184,2015,19460.48213,94.9,92.7448257,2015,19460.48213,100,100,2013,18750.45597,90.5,87.45147617,2013,18750.45597,97.38,95.88902093
Tuvalu,TUV,0,0,,3687.484226,,,95.36053998,99.47577825,93.67002116,,,,,2014,3600.915677,93.24324036,92.76534822,2015,3687.484226,97.29,96.43473192,,,,,2007,3230.441115,22.4,29.58527419,2013,3528.227653,83.3,90.86063708,2015,3687.484226,97,99.86044289,2007,3230.441115,90,99.47577825,2010,3221.923174,83.72,93.67002116
Tanzania,TZA,0,0,53.23623451,2510.03566,71.13652357,69.69463896,33.38635284,62.38908868,29.57456849,2013,2335.963263,52.29811859,66.56130685,2013,2335.963263,73.66584015,75.71174029,2015,2510.03566,95.13,91.62570223,2014,2421.208028,63.4917963,78.75220393,2010,2111.195068,27.4,38.70601071,2015,2510.03566,15.6,18.08168056,2015,2510.03566,45.5,48.69102511,2011,2206.910779,65.20000076,62.38908868,2011,2206.910779,23.9,29.57456849
Uganda,UGA,0,0,62.49903805,1738.4625,70.792102,67.65197055,55.16196752,70.30960411,48.57954609,2011,1665.470433,62.84164047,81.85222171,2013,1677.615427,55.6092186,59.73198229,2015,1738.4625,94.54,92.96403594,2014,1708.088875,54.79806405,72.17853159,2014,1708.088875,25.5,37.81334412,2015,1738.4625,19.1,24.49829269,2015,1738.4625,75.8,85.82564234,2011,1665.470433,66.29999924,70.30960411,2012,1673.626473,35.05,48.57954609
Ukraine,UKR,0,0,,7456.930217,100,77.87029958,97.3375525,,99.87419638,2014,8243.473515,96.11341858,100,2014,8243.473515,110.4454498,100,2015,7456.930217,99.1,99.69425166,2014,8243.473515,70.38060219,76.17366469,2012,8322.173034,47,57.74298239,2015,7456.930217,95.9,97.16593781,2015,7456.930217,97.8,97.50916719,,,,,2014,8243.473515,99.88,99.87419638
Uruguay,URY,1,0,92.30114464,19952.25325,94.97820394,92.73319994,91.89024994,84.0091844,97.89488496,2010,17082.40972,89.86872864,89.95640788,2013,19270.77966,103.0989914,100,2015,19952.25325,98.99,97.76246641,2014,19827.73894,82.51865074,89.78876133,2004,12080.45626,74.8,90.64837208,2015,19952.25325,96.4,94.79855284,2015,19952.25325,93.9,88.98194704,2011,17904.81986,88.30000019,84.0091844,2014,19827.73894,98.7,97.89488496
United States,USA,1,1,,52704.19888,,90.92426115,97.33587941,100,,2014,51775.0903,96.39418793,93.87521656,,,,,2015,52704.19888,99.35,98.31852714,2014,51775.0903,84.51800347,91.03440092,2010,49372.83148,70.4,83.41985539,2015,52704.19888,100,100,2015,52704.19888,98.2,94.67175881,2012,50502.76025,97.9000001,100,,,,
Uzbekistan,UZB,0,0,,5716.495922,87.28502577,81.9999732,90.89367416,83.19472208,,2015,5716.495922,68.98368,79.71745912,2011,4469.997484,95.67759705,94.85259242,2015,5716.495922,96.09,90.75809871,2014,5386.18617,69.07882928,76.9873008,2006,3253.221059,59.3,78.2545201,2015,5716.495922,100,100,2012,4765.860109,80.9,81.78734832,2006,3253.221059,80.39999962,83.19472208,,,,
St. Vincent and the Grenadines,VCT,0,0,,10462.41027,,,84.33111406,,,,,,,2014,10306.93968,100.5336227,100,2015,10462.41027,98.17,96.00172579,2014,10306.93968,76.81048567,84.09324474,,,,,2007,10248.79607,76.1,75.18739702,2015,10462.41027,95.1,93.47483109,,,,,,,,
"Venezuela, RB",VEN,0,0,,,89.68971445,,78.99543532,81.5567129,78.91230505,2009,17071.07923,87.78134918,87.86965994,2014,16769.32678,96.2423172,91.50976896,2014,16769.32678,98.47,96.29544172,2014,16769.32678,77.89359918,83.94178329,,,,,2014,16769.32678,94.4,92.59152784,2014,16769.32678,77.9,65.39934281,2009,17071.07923,86.60000038,81.5567129,2006,16160.12356,85.1,78.91230505
British Virgin Islands,VGB,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,0,0,,5667.410939,,86.73810604,88.83475368,73.68217447,90.86284874,,,,,2014,5370.20998,106.2114716,100,2015,5667.410939,97.83,96.40831199,2014,5370.20998,79.51741932,92.1558339,2014,5370.20998,56.9,71.65017224,2015,5667.410939,78,80.65602586,2015,5667.410939,96.9,97.0134815,2010,4486.261073,76.70000076,73.68217447,2014,5370.20998,87.98,90.86284874
Vanuatu,VUT,0,0,,2806.270013,,81.52647399,81.87111528,69.62438395,69.8254695,,,,,2013,2889.926817,93.77026367,94.3844593,2015,2806.270013,97.25,97.95080022,2014,2891.972916,77.50715035,97.84755492,2013,2889.926817,36.4,48.78106682,2015,2806.270013,57.9,65.60773455,2015,2806.270013,92.9,98.13449601,2013,2889.926817,71.5,69.62438395,2010,2947.983034,61.2,69.8254695
West Bank and Gaza,WBG,0,0,92.79870319,4714.924628,92.8979751,81.55752919,89.78712737,99.75088431,100,2015,4714.924628,75.47503,89.46107712,2014,4319.52829,96.87391663,96.33487307,2015,4714.924628,97.89,97.27460195,2014,4319.52829,79.29149429,94.17992682,2010,4162.701638,41.4,53.2180588,2015,4714.924628,92.3,97.1255325,2015,4714.924628,81.5,82.44872225,2014,4319.52829,92.5999999,99.75088431,2009,4187.253214,99.08,100
Samoa,WSM,0,0,,5574.067711,,73.67270428,97.1267218,,93.97102333,,,,,2014,5523.946701,100.4744415,100,2015,5574.067711,98.25,97.82177011,2014,5523.946701,78.01632356,89.72157337,2009,5417.932811,26.6,33.47476936,2015,5574.067711,91.5,94.75178981,2015,5574.067711,99.3,99.50165378,,,,,2008,5730.694525,91.65,93.97102333
"Yemen, Rep.",YEM,0,0,,2649.313008,66.45119525,67.76840749,52.65194169,36.43430272,,2011,3807.949007,54.77584076,66.58558781,2013,3879.327974,69.16758728,66.31680269,2015,2649.313008,95.81,93.52532376,2014,3775.819027,63.46645018,71.9887166,2013,3879.327974,29.2,37.79118212,2012,3797.556025,53.3,57.54471758,2012,3797.556025,46.5,47.75916581,2013,3879.327974,53.20000076,36.43430272,,,,
South Africa,ZAF,0,0,,12393.25546,,66.82387572,68.25520604,67.88721922,58.03426718,2013,12426.33516,75.13661194,77.51964246,,,,,2015,12393.25546,95.95,88.68549023,2014,12434.0471,44.46245117,39.01965874,2004,10640.93327,59.8,72.7664782,2015,12393.25546,66.4,62.48965228,2015,12393.25546,81.4,74.02075981,2008,12196.60933,76.10000038,67.88721922,2011,12243.87909,65.32,58.03426718
"Congo, Dem. Rep.",ZAR,0,0,76.22661628,736.6802449,87.27862925,70.38548972,58.59796098,100,64.87100143,2013,673.393848,59.44768906,80.35219176,2013,673.393848,66.76748657,94.20506675,2015,736.6802449,90.17,92.93511318,2014,711.0169497,56.7685979,100,2014,711.0169497,7.8,18.22135597,2015,736.6802449,28.7,69.65973601,2015,736.6802449,31.2,47.53618596,2013,673.393848,57.40000153,100,2012,640.5886153,9.3,64.87100143
Zambia,ZMB,0,0,,3602.326756,,68.47836007,50.32795522,48.17657276,23.57884258,,,,,2013,3554.892293,81.00904846,79.88125267,2015,3602.326756,93.6,84.39260937,2014,3609.312938,57.00103254,62.62407237,2014,3609.312938,44.8,58.41839846,2015,3602.326756,43.9,47.74184495,2015,3602.326756,51.3,52.91406549,2013,3554.892293,60,48.17657276,2010,3263.394717,21.13,23.57884258
Zimbabwe,ZWE,0,0,78.60345862,1677.969628,86.93466615,82.72058749,62.26113487,81.6781674,79.4227372,2013,1684.226271,59.14833069,76.99024244,2013,1684.226271,90.24906158,96.87908986,2015,1677.969628,92.93,87.70679984,2014,1709.144002,49.41923693,62.15607277,2014,1709.144002,66.3,98.29888985,2015,1677.969628,36.8,47.79844154,2015,1677.969628,67.3,76.7238282,2014,1709.144002,72.39999962,81.6781674,2011,1523.621784,54.5,79.4227372
